,Date,Sales
0,2013-01-01,97235
1,2013-01-02,6949829
2,2013-01-03,6347820
3,2013-01-04,6638954
4,2013-01-05,5951593
5,2013-01-06,143904
6,2013-01-07,10826848
7,2013-01-08,8749437
8,2013-01-09,7746603
9,2013-01-10,7751485
10,2013-01-11,8039306
11,2013-01-12,6017491
12,2013-01-13,144052
13,2013-01-14,5886788
14,2013-01-15,5512591
15,2013-01-16,5293020
16,2013-01-17,5386564
17,2013-01-18,6137010
18,2013-01-19,6010192
19,2013-01-20,151600
20,2013-01-21,8761074
21,2013-01-22,8320289
22,2013-01-23,7746563
23,2013-01-24,7439836
24,2013-01-25,7780789
25,2013-01-26,5848770
26,2013-01-27,142848
27,2013-01-28,5878702
28,2013-01-29,5452668
29,2013-01-30,5909779
30,2013-01-31,7068567
31,2013-02-01,7203007
32,2013-02-02,6781741
33,2013-02-03,171565
34,2013-02-04,10333651
35,2013-02-05,8841604
36,2013-02-06,8094803
37,2013-02-07,7430076
38,2013-02-08,7968566
39,2013-02-09,6161019
40,2013-02-10,172564
41,2013-02-11,5517060
42,2013-02-12,5563503
43,2013-02-13,6175147
44,2013-02-14,6422292
45,2013-02-15,6255053
46,2013-02-16,6162142
47,2013-02-17,174467
48,2013-02-18,10703641
49,2013-02-19,7988672
50,2013-02-20,7759768
51,2013-02-21,7611880
52,2013-02-22,7840974
53,2013-02-23,5637945
54,2013-02-24,159057
55,2013-02-25,5615365
56,2013-02-26,5671238
57,2013-02-27,6008503
58,2013-02-28,7108972
59,2013-03-01,7244231
60,2013-03-02,6779350
61,2013-03-03,195229
62,2013-03-04,11072682
63,2013-03-05,8943536
64,2013-03-06,8062941
65,2013-03-07,7981811
66,2013-03-08,8118153
67,2013-03-09,6061383
68,2013-03-10,164917
69,2013-03-11,6194538
70,2013-03-12,5338418
71,2013-03-13,5830737
72,2013-03-14,6098093
73,2013-03-15,6783348
74,2013-03-16,6459058
75,2013-03-17,193072
76,2013-03-18,10078195
77,2013-03-19,8528292
78,2013-03-20,7728892
79,2013-03-21,7897067
80,2013-03-22,8245992
81,2013-03-23,6337911
82,2013-03-24,191036
83,2013-03-25,10482556
84,2013-03-26,9305505
85,2013-03-27,9674698
86,2013-03-28,11417987
87,2013-03-29,213921
88,2013-03-30,9380402
89,2013-03-31,176418
90,2013-04-01,241076
91,2013-04-02,7362049
92,2013-04-03,6406442
93,2013-04-04,6496112
94,2013-04-05,6622062
95,2013-04-06,6171054
96,2013-04-07,189097
97,2013-04-08,10115602
98,2013-04-09,8418477
